Model,Group,Type,MAPE
SOC30,NCACY25-025_1,Current,1.590813771
SOC30,NCACY25-025_1,Current,2.128830793
SOC30,NCACY25-025_1,Current,1.526128245
SOC30,NCACY25-025_1,Current,2.173500334
SOC30,NCACY25-05_1,Current,1.237337304
SOC30,NCACY25-05_1,Current,1.38068589
SOC30,NCACY25-05_1,Current,1.284599447
SOC30,NCACY25-05_1,Current,1.145594037
SOC30,NCACY25-05_1,Current,1.288121447
SOC30,NCACY25-05_1,Current,1.269095574
SOC30,NCACY25-05_1,Current,1.298524252
SOC30,NCACY25-05_1,Current,1.175612194
SOC30,NCACY25-05_1,Current,1.377255083
SOC30,NCACY25-05_1,Current,1.402910191
SOC30,NCACY25-1_1,Current,1.035983436
SOC30,NCACY25-1_1,Current,1.011022277
SOC30,NCACY25-1_1,Current,0.962333906
SOC30,NCACY25-1_1,Current,1.075819027
SOC30,NCACY25-1_1,Current,1.471235627
SOC30,NCACY25-1_1,Current,1.627535935
SOC30,NCACY25-1_1,Current,0.983522339
SOC30,NCACY25-1_1,Current,1.225890426
SOC30,NCACY25-1_1,Current,1.79474557
SOC30,NCACY25-1_1,Current,1.032993131
SOC30,NCMCY45-05_1,Current,0.46130815
SOC30,NCMCY45-05_1,Current,0.50836686
SOC30,NCMCY45-05_1,Current,0.706878811
SOC30,NCMCY45-05_1,Current,0.49214472
SOC30,NCMCY45-05_1,Current,0.669561797
SOC30,NCMCY45-05_1,Current,0.492954355
SOC30,NCMCY45-05_1,Current,0.492950627
SOC30,NCMCY45-05_1,Current,0.614909082
SOC30,NCMCY45-05_1,Current,0.56669468
SOC30,NCMCY45-05_1,Current,0.550281939
SOC30,NCMCY35-05_1,Current,0.453269078
SOC30,NCMCY35-05_1,Current,0.460869297
SOC30,NCMCY35-05_1,Current,0.54052636
SOC30,NCMCY35-05_1,Current,0.456103755
SOC30,NCMCY35-05_1,Current,0.579203911
SOC30,NCMCY35-05_1,Current,0.456825287
SOC30,NCMCY35-05_1,Current,0.45249791
SOC30,NCMCY35-05_1,Current,0.453832205
SOC30,NCMCY35-05_1,Current,0.465979637
SOC30,NCMCY35-05_1,Current,0.448481397
SOC30,NCMCY25-05_1,Current,0.51980451
SOC30,NCMCY25-05_1,Current,0.629004779
SOC30,NCMCY25-05_1,Current,0.471218425
SOC30,NCMCY25-05_1,Current,0.83365538
SOC30,NCMCY25-05_1,Current,0.503402069
SOC30,NCMCY25-05_1,Current,0.732279735
SOC30,NCMCY25-05_1,Current,0.376212292
SOC30,NCMCY25-05_1,Current,0.555480107
SOC30,NCMCY25-05_1,Current,0.874104171
SOC30,NCMCY25-05_1,Current,0.968788272
SOC30,NCMNCACY25-05_1,Current,1.001961796
SOC30,NCMNCACY25-05_1,Current,0.63104841
SOC30,NCMNCACY25-05_1,Current,1.319169256
SOC30,NCMNCACY25-05_1,Current,0.882368218
SOC30,NCMNCACY25-05_1,Current,0.951266079
SOC30,NCMNCACY25-05_1,Current,1.022593554
SOC30,NCMNCACY25-05_1,Current,0.45564608
SOC30,NCMNCACY25-05_1,Current,0.583682399
SOC30,NCMNCACY25-05_1,Current,0.653101101
SOC30,NCMNCACY25-05_1,Current,0.620576417
SOC30,NCMNCACY25-05_2,Current,1.112742838
SOC30,NCMNCACY25-05_2,Current,0.743356977
SOC30,NCMNCACY25-05_2,Current,1.449954938
SOC30,NCMNCACY25-05_2,Current,0.874463593
SOC30,NCMNCACY25-05_2,Current,0.832781211
SOC30,NCMNCACY25-05_2,Current,2.117690436
SOC30,NCMNCACY25-05_2,Current,0.915512059
SOC30,NCMNCACY25-05_2,Current,0.806880374
